*DSV program by Marcos Alex
*Find below the values of dvs calculated with information taken from the following files
*meteorological file name : dados_meteo.csv
*crop file name           : cassava.w41
******************************
*Date           DAP    DVS     
13-03-2020      260   1.89
14-03-2020      261   1.90
15-03-2020      262   1.90
16-03-2020      263   1.91
17-03-2020      264   1.91
18-03-2020      265   1.92
19-03-2020      266   1.92
20-03-2020      267   1.93
21-03-2020      268   1.94
22-03-2020      269   1.94
23-03-2020      270   1.95
24-03-2020      271   1.96
25-03-2020      272   1.96
26-03-2020      273   1.97
27-03-2020      274   1.97
28-03-2020      275   1.98
29-03-2020      276   1.98
30-03-2020      277   1.99
31-03-2020      278   1.99
01-04-2020      279   2.00
02-04-2020      280   2.00
03-04-2020      281   2.01
